indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A
130,,-2418.0556,,128,130,0,0,2,0,0,0,0,0,0,5
131,,-2417.9892,,128,130,0,0,2,0,0,0,0,0,0,5
132,,-2418.099,,128,130,0,0,2,0,0,0,0,0,0,5
133,,-2417.994,,128,130,0,0,2,0,0,0,0,0,0,5
134,,-2418.0428,,128,130,0,0,2,0,0,0,0,0,0,5
135,,-2418.0672,,128,130,0,0,2,0,0,0,0,0,0,5
136,,-2418.0699,,128,130,0,0,2,0,0,0,0,0,0,5
137,,-2417.8317,,128,130,0,0,2,0,0,0,0,0,0,5
138,,-2418.0213,,128,130,0,0,2,0,0,0,0,0,0,5
139,,-2418.1678,,128,130,0,0,2,0,0,0,0,0,0,5
140,,-2418.1816,,128,130,0,0,2,0,0,0,0,0,0,5
141,,-2418.258,,128,130,0,0,2,0,0,0,0,0,0,5
142,,-2418.349,,128,130,0,0,2,0,0,0,0,0,0,5
143,,-2418.2957,,128,130,0,0,2,0,0,0,0,0,0,5
144,,-2418.2598,,128,130,0,0,2,0,0,0,0,0,0,5
145,,-2418.2018,,128,130,0,0,2,0,0,0,0,0,0,5
146,,-2418.2861,,128,130,0,0,2,0,0,0,0,0,0,5
147,,-2418.3496,,128,130,0,0,2,0,0,0,0,0,0,5
148,,-2418.4789,,128,130,0,0,2,0,0,0,0,0,0,5
149,,-2418.5791,,128,130,0,0,2,0,0,0,0,0,0,5
150,,-2418.5498,,128,130,0,0,2,0,0,0,0,0,0,5
151,,-2418.6247,,128,130,0,0,2,0,0,0,0,0,0,5
152,,-2418.3696,,128,130,0,0,2,0,0,0,0,0,0,5
153,,-2424.5003,,128,131,0,0,3,0,0,0,0,0,0,5
154,,-2424.0673,,128,131,0,0,3,0,0,0,0,0,0,5
155,,-2424.0945,,128,131,0,0,3,0,0,0,0,0,0,5
156,,-2424.2453,,128,131,0,0,3,0,0,0,0,0,0,5
157,,-2425.0192,,128,131,0,0,3,0,0,0,0,0,0,5
158,,-2425.237,,128,131,0,0,3,0,0,0,0,0,0,5
159,,-2425.4866,,128,131,0,0,3,0,0,0,0,0,0,5
160,,-2425.6167,,128,131,0,0,3,0,0,0,0,0,0,5
161,,-2425.7227,,128,131,0,0,3,0,0,0,0,0,0,5
162,,-2425.9811,,128,131,0,0,3,0,0,0,0,0,0,5
163,,-2426.2107,,128,131,0,0,3,0,0,0,0,0,0,5
164,,-2426.5096,,128,131,0,0,3,0,0,0,0,0,0,5
165,,-2426.5596,,128,131,0,0,3,0,0,0,0,0,0,5
166,,-2426.6489,,128,131,0,0,3,0,0,0,0,0,0,5
167,,-2426.6411,,128,131,0,0,3,0,0,0,0,0,0,5
168,,-2426.1156,,128,131,0,0,3,0,0,0,0,0,0,5
169,,-2425.7352,,128,131,0,0,3,0,0,0,0,0,0,5
170,,-2425.5583,,128,131,0,0,3,0,0,0,0,0,0,5
171,,-2425.1993,,128,131,0,0,3,0,0,0,0,0,0,5
172,,-2425.179,,128,131,0,0,3,0,0,0,0,0,0,5
173,,-2425.0987,,128,131,0,0,3,0,0,0,0,0,0,5
174,,-2425.1552,,128,131,0,0,3,0,0,0,0,0,0,5
175,,-2425.2854,,128,131,0,0,3,0,0,0,0,0,0,5
176,,-2425.4378,,128,131,0,0,3,0,0,0,0,0,0,5
177,,-2425.5374,,128,131,0,0,3,0,0,0,0,0,0,5
