indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A,redPot
119,442.74055,-472.64878,,36,36,0,2,0,2,,,,,,,-31.520995
120,452.92643,-472.78656,,36,36,0,2,0,2,,,,,,,-31.658772
121,467.31421,-472.95631,,36,36,0,2,0,2,,,,,,,-31.828523
122,483.80773,-473.14109,,36,36,0,2,0,2,,,,,,,-32.013299
123,499.75524,-473.31927,,36,36,0,2,0,2,,,,,,,-32.191485
124,504.5808,-473.39569,,36,36,0,2,0,2,,,,,,,-32.267899
125,510.45526,-473.48305,,36,36,0,2,0,2,,,,,,,-32.355258
126,521.31665,-473.61919,,36,36,0,2,0,2,,,,,,,-32.491396
127,521.31139,-473.65961,,36,36,0,2,0,2,,,,,,,-32.531823
128,517.21376,-473.66659,,36,36,0,2,0,2,,,,,,,-32.538798
129,509.97079,-473.64749,,36,36,0,2,0,2,,,,,,,-32.5197
130,500.56421,-473.60967,,36,36,0,2,0,2,,,,,,,-32.48188
131,489.56905,-473.55643,,36,36,0,2,0,2,,,,,,,-32.428644
132,478.37434,-473.49852,,36,36,0,2,0,2,,,,,,,-32.37073
133,468.23287,-473.44563,,36,36,0,2,0,2,,,,,,,-32.317839
134,459.5396,-473.39992,,36,36,0,2,0,2,,,,,,,-32.272128
135,452.52721,-473.36236,,36,36,0,2,0,2,,,,,,,-32.234574
136,449.15081,-473.35015,,36,36,0,2,0,2,,,,,,,-32.222359
137,450.6074,-473.37397,,36,36,0,2,0,2,,,,,,,-32.246184
138,456.14894,-473.42724,,36,36,0,2,0,2,,,,,,,-32.29945
139,463.89472,-473.49342,,36,36,0,2,0,2,,,,,,,-32.36563
140,468.07194,-473.52039,,36,36,0,2,0,2,,,,,,,-32.392596
141,475.23242,-473.56913,,36,36,0,2,0,2,,,,,,,-32.441344
142,495.5226,-473.73393,,36,36,0,2,0,2,,,,,,,-32.606142
143,509.59049,-473.83929,,36,36,0,2,0,2,,,,,,,-32.711503
144,523.77606,-473.94708,,36,36,0,2,0,2,,,,,,,-32.81929
145,535.03168,-474.0319,,36,36,0,2,0,2,,,,,,,-32.904113
146,541.9657,-474.08353,,36,36,0,2,0,2,,,,,,,-32.955737
147,546.64266,-474.12262,,36,36,0,2,0,2,,,,,,,-32.994833
148,551.13662,-474.16941,,36,36,0,2,0,2,,,,,,,-33.041618
149,556.07988,-474.23083,,36,36,0,2,0,2,,,,,,,-33.103038
150,561.09376,-474.30463,,36,36,0,2,0,2,,,,,,,-33.176842
151,565.2359,-474.38342,,36,36,0,2,0,2,,,,,,,-33.255632
152,566.6361,-474.45086,,36,36,0,2,0,2,,,,,,,-33.323072
153,566.24635,-474.51583,,36,36,0,2,0,2,,,,,,,-33.388044
154,565.54516,-474.59158,,36,36,0,2,0,2,,,,,,,-33.463792
155,566.97062,-474.70043,,36,36,0,2,0,2,,,,,,,-33.572639
156,561.09651,-474.75486,,36,36,0,2,0,2,,,,,,,-33.627069
157,570.97908,-474.96668,,36,36,0,2,0,2,,,,,,,-33.838891
158,582.75576,-475.2128,,36,36,0,2,0,2,,,,,,,-34.085007
159,589.68546,-475.43226,,36,36,0,2,0,2,,,,,,,-34.304473
160,592.61768,-475.63318,,36,36,0,2,0,2,,,,,,,-34.505393
161,587.60684,-475.77704,,36,36,0,2,0,2,,,,,,,-34.649252
162,575.477,-475.86636,,36,36,0,2,0,2,,,,,,,-34.73857
163,559.24165,-475.9226,,36,36,0,2,0,2,,,,,,,-34.794815
164,541.83229,-475.96704,,36,36,0,2,0,2,,,,,,,-34.839254
165,525.6243,-476.01734,,36,36,0,2,0,2,,,,,,,-34.889547
166,511.27245,-476.07696,,36,36,0,2,0,2,,,,,,,-34.949167
167,497.75075,-476.13463,,36,36,0,2,0,2,,,,,,,-35.006839
168,485.12806,-476.18949,,36,36,0,2,0,2,,,,,,,-35.061705
169,474.84063,-476.25416,,36,36,0,2,0,2,,,,,,,-35.126373
170,464.76054,-476.30878,,36,36,0,2,0,2,,,,,,,-35.180995
171,455.31555,-476.35674,,36,36,0,2,0,2,,,,,,,-35.22895
172,447.78293,-476.40964,,36,36,0,2,0,2,,,,,,,-35.281853
173,443.35871,-476.47911,,36,36,0,2,0,2,,,,,,,-35.351322
174,451.77099,-472.69928,,36,35,0,2,0,3,,,,,,,-37.72082
175,459.02239,-472.8565,,36,35,0,2,0,3,,,,,,,-37.878032
176,467.92673,-473.02276,,36,35,0,2,0,3,,,,,,,-38.044298
177,474.86421,-473.16676,,36,35,0,2,0,3,,,,,,,-38.188297
178,479.03214,-473.28185,,36,35,0,2,0,3,,,,,,,-38.303388
179,482.6697,-473.38885,,36,35,0,2,0,3,,,,,,,-38.410389
180,487.10755,-473.50049,,36,35,0,2,0,3,,,,,,,-38.522022
181,492.37022,-473.6179,,36,35,0,2,0,3,,,,,,,-38.639433
182,497.55146,-473.73386,,36,35,0,2,0,3,,,,,,,-38.755392
183,501.1576,-473.83566,,36,35,0,2,0,3,,,,,,,-38.8572
184,499.32111,-473.88846,,36,35,0,2,0,3,,,,,,,-38.909993
185,486.53032,-473.84077,,36,35,0,2,0,3,,,,,,,-38.862305
186,464.36228,-473.70324,,36,35,0,2,0,3,,,,,,,-38.72478
187,437.95844,-473.51819,,36,35,0,2,0,3,,,,,,,-38.539723
188,413.6951,-473.33996,,36,35,0,2,0,3,,,,,,,-38.3615
189,394.78679,-473.19562,,36,35,0,2,0,3,,,,,,,-38.217158
190,381.38477,-473.08541,,36,35,0,2,0,3,,,,,,,-38.106946
191,373.25616,-473.00648,,36,35,0,2,0,3,,,,,,,-38.028019
192,369.3562,-472.94883,,36,35,0,2,0,3,,,,,,,-37.970365
193,371.27415,-472.92635,,36,35,0,2,0,3,,,,,,,-37.947883
194,378.93275,-472.93782,,36,35,0,2,0,3,,,,,,,-37.959356
195,391.54592,-472.97595,,36,35,0,2,0,3,,,,,,,-37.997489
196,409.14771,-473.0413,,36,35,0,2,0,3,,,,,,,-38.062838
197,428.43617,-473.1052,,36,35,0,2,0,3,,,,,,,-38.126732
198,444.76503,-473.1284,,36,35,0,2,0,3,,,,,,,-38.149937
199,458.47788,-473.11766,,36,35,0,2,0,3,,,,,,,-38.139197
200,468.96415,-473.07068,,36,35,0,2,0,3,,,,,,,-38.092212
201,474.92253,-472.97882,,36,35,0,2,0,3,,,,,,,-38.000351
202,472.36062,-472.80896,,36,35,0,2,0,3,,,,,,,-37.830491
203,462.81099,-472.57725,,36,35,0,2,0,3,,,,,,,-37.598783
204,453.44058,-472.34833,,36,35,0,2,0,3,,,,,,,-37.369871
205,451.1345,-472.18221,,36,35,0,2,0,3,,,,,,,-37.203748
206,458.81641,-472.10249,,36,35,0,2,0,3,,,,,,,-37.124024
207,474.68908,-472.0913,,36,35,0,2,0,3,,,,,,,-37.112839
208,494.19992,-472.10823,,36,35,0,2,0,3,,,,,,,-37.129763
209,512.47968,-472.11224,,36,35,0,2,0,3,,,,,,,-37.133778
210,526.62914,-472.08118,,36,35,0,2,0,3,,,,,,,-37.102712
211,536.77052,-472.01989,,36,35,0,2,0,3,,,,,,,-37.041425
212,544.11659,-471.94184,,36,35,0,2,0,3,,,,,,,-36.963373
213,549.28501,-471.85419,,36,35,0,2,0,3,,,,,,,-36.87573
